DDR5,V-Color,6400,6400,48GB,TMXFL4864832WWK,Hynix M-die,DS,v,,2,v,,
DDR5,Hynix,5600,5600,32GB,HMCG88AGBUA081N,Hynix A-die,DS,,,2,,,
DDR5,KLEVV,5600,5600,32GB,KD5BGUA80-56G4600,Hynix,DS,,,2,,,
DDR5,Patriot,5600,5600,32GB,PSD532G56002,Hynix,DS,,,2,,,
DDR5,SILICON POWER,5600,5600,32GB,SP032GXLWU560FSJ,Hynix-M,DS,v,v,2,,,
DDR5,Team,5600,5600,32GB,CTCCD564G5600HC46DC01,Hynix A-die,DS,v,v,2,,,
DDR5,V-Color,5600,5600,32GB,TMXPL3256836KWK,Hynix A-die,DS,v,,2,,,
DDR5,V-Color,5600,5600,32GB,TMXSAL3256832KWK,Hynix A-die,DS,,v,2,,,
DDR5,V-Color,5600,5600,32GB,TMXPL3256836WWK,Hynix A-die,DS,v,,2,,,
DDR5,V-Color,5600,5600,32GB,TMXSAL3256832WWK,Hynix A-die,DS,,v,2,,,
DDR5,V-Color,5600,5600,32GB,TMXPL3256836SWK,Hynix A-die,DS,v,,2,,,
DDR5,V-Color,5600,5600,32GB,TMXSAL3256832SWK,Hynix A-die,DS,,v,2,,,
DDR5,ADATA,5600,5600,16GB,AD5U560016G-S,Hynix A-die,SS,,,2/4,,,
DDR5,ADATA,5600,5600,16GB,AD5U560016G-DT,Hynix A-die,SS,,,2/4,,,
DDR5,Apacer,5600,5600,16GB,AU16GHB56CVBBGH,Hynix A-die,SS,,,2,,,
DDR5,G.Skill,5600,5600,16GB,F5-5600J3036D16GX2-TZ5RK,Hynix,SS,v,,2,,,
DDR5,G.Skill,5600,5600,16GB,F5-5600J3036D16GX2-RS5W,Hynix,SS,v,,2,,,
DDR5,G.Skill,5600,5600,16GB,F5-5600J2834F16GX2-RS5W,Hynix,SS,v,,2,,,
DDR5,G.Skill,5600,5600,16GB,F5-5600J3036D16GX2-TZ5RS,Hynix,SS,v,,2,,,
DDR5,Hynix,5600,5600,16GB,HMCG78AGBUA084N,Hynix,SS,,,2/4,,,
DDR5,Hynix,5600,5600,16GB,HMCG78AGBUA081N,Hynix A-die,SS,,,2/4,,,
DDR5,Kingston,5600,5600,16GB,KVR56U46BS8K2-32,Hynix A-die,SS,,,2,,,
DDR5,Kingston,5600,5600,16GB,KF556C40BWA-16,Hynix A-die,SS,v,,2,,,
DDR5,Kingston,5600,5600,16GB,KF556C40BBAK4-64,Hynix A-die,SS,v,,2/4,,,
DDR5,Kingston,5600,5600,16GB,KF556C40BWAK2-32,Hynix A-die,SS,v,,2,,,
